stock,symbol_nse,symbol_yfinance,industry
360 ONE WAM Ltd.,360ONE,360ONE.NS,Financial Services
3M India Ltd.,3MINDIA,3MINDIA.NS,Diversified
ABB India Ltd.,ABB,ABB.NS,Capital Goods
ACC Ltd.,ACC,ACC.NS,Construction Materials
AIA Engineering Ltd.,AIAENG,AIAENG.NS,Capital Goods
APL Apollo Tubes Ltd.,APLAPOLLO,APLAPOLLO.NS,Capital Goods
AU Small Finance Bank Ltd.,AUBANK,AUBANK.NS,Financial Services
Aarti Drugs Ltd.,AARTIDRUGS,AARTIDRUGS.NS,Healthcare
Aarti Industries Ltd.,AARTIIND,AARTIIND.NS,Chemicals
Aavas Financiers Ltd.,AAVAS,AAVAS.NS,Financial Services
Abbott India Ltd.,ABBOTINDIA,ABBOTINDIA.NS,Healthcare
Adani Enterprises Ltd.,ADANIENT,ADANIENT.NS,Metals & Mining
Adani Green Energy Ltd.,ADANIGREEN,ADANIGREEN.NS,Power
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,ADANIPORTS.NS,Services
Adani Power Ltd.,ADANIPOWER,ADANIPOWER.NS,Power
Adani Total Gas Ltd.,ATGL,ATGL.NS,Oil Gas & Consumable Fuels
Adani Transmission Ltd.,ADANITRANS,ADANITRANS.NS,Power
Adani Wilmar Ltd.,AWL,AWL.NS,Fast Moving Consumer Goods
Aditya Birla Capital Ltd.,ABCAPITAL,ABCAPITAL.NS,Financial Services
Aditya Birla Fashion and Retail Ltd.,ABFRL,ABFRL.NS,Consumer Services
Aegis Logistics Ltd.,AEGISCHEM,AEGISCHEM.NS,Oil Gas & Consumable Fuels
Aether Industries Ltd.,AETHER,AETHER.NS,Chemicals
Affle (India) Ltd.,AFFLE,AFFLE.NS,Information Technology
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,AJANTPHARM.NS,Healthcare
Alembic Pharmaceuticals Ltd.,APLLTD,APLLTD.NS,Healthcare
Alkem Laboratories Ltd.,ALKEM,ALKEM.NS,Healthcare
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,ALKYLAMINE.NS,Chemicals
Amara Raja Batteries Ltd.,AMARAJABAT,AMARAJABAT.NS,Automobile and Auto Components
Amber Enterprises India Ltd.,AMBER,AMBER.NS,Consumer Durables
Ambuja Cements Ltd.,AMBUJACEM,AMBUJACEM.NS,Construction Materials
Angel One Ltd.,ANGELONE,ANGELONE.NS,Financial Services
Anupam Rasayan India Ltd.,ANURAS,ANURAS.NS,Chemicals
Apar Industries Ltd.,APARINDS,APARINDS.NS,Capital Goods
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,APOLLOHOSP.NS,Healthcare
Apollo Tyres Ltd.,APOLLOTYRE,APOLLOTYRE.NS,Automobile and Auto Components
Aptus Value Housing Finance India Ltd.,APTUS,APTUS.NS,Financial Services
Archean Chemical Industries Ltd.,ACI,ACI.NS,Chemicals
Asahi India Glass Ltd.,ASAHIINDIA,ASAHIINDIA.NS,Automobile and Auto Components
Ashok Leyland Ltd.,ASHOKLEY,ASHOKLEY.NS,Capital Goods
Asian Paints Ltd.,ASIANPAINT,ASIANPAINT.NS,Consumer Durables
Aster DM Healthcare Ltd.,ASTERDM,ASTERDM.NS,Healthcare
Astral Ltd.,ASTRAL,ASTRAL.NS,Capital Goods
Atul Ltd.,ATUL,ATUL.NS,Chemicals
Aurobindo Pharma Ltd.,AUROPHARMA,AUROPHARMA.NS,Healthcare
Avanti Feeds Ltd.,AVANTIFEED,AVANTIFEED.NS,Fast Moving Consumer Goods
Avenue Supermarts Ltd.,DMART,DMART.NS,Consumer Services
Axis Bank Ltd.,AXISBANK,AXISBANK.NS,Financial Services
BASF India Ltd.,BASF,BASF.NS,Chemicals
BEML Ltd.,BEML,BEML.NS,Capital Goods
BLS International Services Ltd.,BLS,BLS.NS,Consumer Services
BSE Ltd.,BSE,BSE.NS,Financial Services
Bajaj Auto Ltd.,BAJAJ-AUTO,BAJAJ-AUTO.NS,Automobile and Auto Components
Bajaj Finance Ltd.,BAJFINANCE,BAJFINANCE.NS,Financial Services
Bajaj Finserv Ltd.,BAJAJFINSV,BAJAJFINSV.NS,Financial Services
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,BAJAJHLDNG.NS,Financial Services
Balaji Amines Ltd.,BALAMINES,BALAMINES.NS,Chemicals
